label,text,clean_text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
fashiontrends,"What's the outfit tonight? 😏
⁠
Streaming Everywhere | Link in bio*⁠
⁠
#saturday #weekend #sexpositive #weekendmood #deephouse #techhouse #spotify #theeveningafter #lifestyle #fashiontrends #styleblogger #fashioninspo #fashion #style #model #painting #makeup #fashionblogger ","Whats the outfit tonight 

Streaming Everywhere  Link in bio

saturday weekend sexpositive weekendmood deephouse techhouse spotify theeveningafter lifestyle fashiontrends styleblogger fashioninspo fashion style model painting makeup fashionblogger ","['whats', 'the', 'outfit', 'tonight', 'streaming', 'everywhere', 'link', 'in', 'bio', 'saturday', 'weekend', 'sexpositive', 'weekendmood', 'deephouse', 'techhouse', 'spotify', 'theeveningafter', 'lifestyle', 'fashiontrends', 'styleblogger', 'fashioninspo', 'fashion', 'style', 'model', 'painting', 'makeup', 'fashionblogger', '']","['whats', 'outfit', 'tonight', 'streaming', 'everywhere', 'link', 'bio', 'saturday', 'weekend', 'sexpositive', 'weekendmood', 'deephouse', 'techhouse', 'spotify', 'theeveningafter', 'lifestyle', 'fashiontrends', 'styleblogger', 'fashioninspo', 'fashion', 'style', 'model', 'painting', 'makeup', 'fashionblogger', '']","['what', 'outfit', 'tonight', 'stream', 'everywher', 'link', 'bio', 'saturday', 'weekend', 'sexposit', 'weekendmood', 'deephous', 'techhous', 'spotifi', 'theeveningaft', 'lifestyl', 'fashiontrend', 'styleblogg', 'fashioninspo', 'fashion', 'style', 'model', 'paint', 'makeup', 'fashionblogg', '']","['whats', 'outfit', 'tonight', 'streaming', 'everywhere', 'link', 'bio', 'saturday', 'weekend', 'sexpositive', 'weekendmood', 'deephouse', 'techhouse', 'spotify', 'theeveningafter', 'lifestyle', 'fashiontrends', 'styleblogger', 'fashioninspo', 'fashion', 'style', 'model', 'painting', 'makeup', 'fashionblogger', '']"
fashiontrends,"FESTIVE FEATHERS - #fashion #fashionable #fashionaddict #fashionblogger #fashionbloggers #fashiongram #fashionicon #fashioninspo #fashionista #fashionistas #fashionlove #fashionlovers #fashionpost #fashionstyle #fashiontrends #Feathers #Festive #insta...
","FESTIVE FEATHERS  fashion fashionable fashionaddict fashionblogger fashionbloggers fashiongram fashionicon fashioninspo fashionista fashionistas fashionlove fashionlovers fashionpost fashionstyle fashiontrends Feathers Festive insta
","['festive', 'feathers', 'fashion', 'fashionable', 'fashionaddict', 'fashionblogger', 'fashionbloggers', 'fashiongram', 'fashionicon', 'fashioninspo', 'fashionista', 'fashionistas', 'fashionlove', 'fashionlovers', 'fashionpost', 'fashionstyle', 'fashiontrends', 'feathers', 'festive', 'insta', '']","['festive', 'feathers', 'fashion', 'fashionable', 'fashionaddict', 'fashionblogger', 'fashionbloggers', 'fashiongram', 'fashionicon', 'fashioninspo', 'fashionista', 'fashionistas', 'fashionlove', 'fashionlovers', 'fashionpost', 'fashionstyle', 'fashiontrends', 'feathers', 'festive', 'insta', '']","['festiv', 'feather', 'fashion', 'fashion', 'fashionaddict', 'fashionblogg', 'fashionblogg', 'fashiongram', 'fashionicon', 'fashioninspo', 'fashionista', 'fashionista', 'fashionlov', 'fashionlov', 'fashionpost', 'fashionstyl', 'fashiontrend', 'feather', 'festiv', 'insta', '']","['festive', 'feather', 'fashion', 'fashionable', 'fashionaddict', 'fashionblogger', 'fashionbloggers', 'fashiongram', 'fashionicon', 'fashioninspo', 'fashionista', 'fashionistas', 'fashionlove', 'fashionlovers', 'fashionpost', 'fashionstyle', 'fashiontrends', 'feather', 'festive', 'insta', '']"
fashiontrends,"Our classic cloud slides are the comfiest shoes around!
Shop Kat's Cloud Slides today in all yoru fave colors! ☁️👟⁠
⁠


#minimal #heels #fashionrevolution #black #fashiontrends⁠ #summerfashion #fashioninspo #vintagefashion #glamour #cloudshoes #slippers ","Our classic cloud slides are the comfiest shoes around
Shop Kats Cloud Slides today in all yoru fave colors 



minimal heels fashionrevolution black fashiontrends summerfashion fashioninspo vintagefashion glamour cloudshoes slippers ","['our', 'classic', 'cloud', 'slides', 'are', 'the', 'comfiest', 'shoes', 'around', 'shop', 'kats', 'cloud', 'slides', 'today', 'in', 'all', 'yoru', 'fave', 'colors', 'minimal', 'heels', 'fashionrevolution', 'black', 'fashiontrends', 'summerfashion', 'fashioninspo', 'vintagefashion', 'glamour', 'cloudshoes', 'slippers', '']","['classic', 'cloud', 'slides', 'comfiest', 'shoes', 'around', 'shop', 'kats', 'cloud', 'slides', 'today', 'yoru', 'fave', 'colors', 'minimal', 'heels', 'fashionrevolution', 'black', 'fashiontrends', 'summerfashion', 'fashioninspo', 'vintagefashion', 'glamour', 'cloudshoes', 'slippers', '']","['classic', 'cloud', 'slide', 'comfiest', 'shoe', 'around', 'shop', 'kat', 'cloud', 'slide', 'today', 'yoru', 'fave', 'color', 'minim', 'heel', 'fashionrevolut', 'black', 'fashiontrend', 'summerfashion', 'fashioninspo', 'vintagefashion', 'glamour', 'cloudsho', 'slipper', '']","['classic', 'cloud', 'slide', 'comfiest', 'shoe', 'around', 'shop', 'kat', 'cloud', 'slide', 'today', 'yoru', 'fave', 'color', 'minimal', 'heel', 'fashionrevolution', 'black', 'fashiontrends', 'summerfashion', 'fashioninspo', 'vintagefashion', 'glamour', 'cloudshoes', 'slipper', '']"
fashiontrends,Trendiest Knitwear At Net-A-Porter #fashiontrends  via @YouTube #knitwear #sweater #netaporter #fashiontrends,Trendiest Knitwear At NetAPorter fashiontrends  via YouTube knitwear sweater netaporter fashiontrends,"['trendiest', 'knitwear', 'at', 'netaporter', 'fashiontrends', 'via', 'youtube', 'knitwear', 'sweater', 'netaporter', 'fashiontrends']","['trendiest', 'knitwear', 'netaporter', 'fashiontrends', 'via', 'youtube', 'knitwear', 'sweater', 'netaporter', 'fashiontrends']","['trendiest', 'knitwear', 'netaport', 'fashiontrend', 'via', 'youtub', 'knitwear', 'sweater', 'netaport', 'fashiontrend']","['trendiest', 'knitwear', 'netaporter', 'fashiontrends', 'via', 'youtube', 'knitwear', 'sweater', 'netaporter', 'fashiontrends']"
fashiontrends,"Or like #Celio, a cool, fun-loving and smart one
#trendy #FashionTrends #lookatme 
","Or like Celio a cool funloving and smart one
trendy FashionTrends lookatme 
","['or', 'like', 'celio', 'a', 'cool', 'funloving', 'and', 'smart', 'one', 'trendy', 'fashiontrends', 'lookatme', '']","['like', 'celio', 'cool', 'funloving', 'smart', 'one', 'trendy', 'fashiontrends', 'lookatme', '']","['like', 'celio', 'cool', 'funlov', 'smart', 'one', 'trendi', 'fashiontrend', 'lookatm', '']","['like', 'celio', 'cool', 'funloving', 'smart', 'one', 'trendy', 'fashiontrends', 'lookatme', '']"
fashiontrends,"What's the outfit tonight? 😏
⁠
Streaming Everywhere | Link in bio*⁠
⁠
#saturday #weekend #sexpositive #weekendmood #deephouse #techhouse #spotify #theeveningafter #lifestyle #fashiontrends #styleblogger #fashioninspo #fashion #style #model #painting #makeup #fashionblogger ","Whats the outfit tonight 

Streaming Everywhere  Link in bio

saturday weekend sexpositive weekendmood deephouse techhouse spotify theeveningafter lifestyle fashiontrends styleblogger fashioninspo fashion style model painting makeup fashionblogger ","['whats', 'the', 'outfit', 'tonight', 'streaming', 'everywhere', 'link', 'in', 'bio', 'saturday', 'weekend', 'sexpositive', 'weekendmood', 'deephouse', 'techhouse', 'spotify', 'theeveningafter', 'lifestyle', 'fashiontrends', 'styleblogger', 'fashioninspo', 'fashion', 'style', 'model', 'painting', 'makeup', 'fashionblogger', '']","['whats', 'outfit', 'tonight', 'streaming', 'everywhere', 'link', 'bio', 'saturday', 'weekend', 'sexpositive', 'weekendmood', 'deephouse', 'techhouse', 'spotify', 'theeveningafter', 'lifestyle', 'fashiontrends', 'styleblogger', 'fashioninspo', 'fashion', 'style', 'model', 'painting', 'makeup', 'fashionblogger', '']","['what', 'outfit', 'tonight', 'stream', 'everywher', 'link', 'bio', 'saturday', 'weekend', 'sexposit', 'weekendmood', 'deephous', 'techhous', 'spotifi', 'theeveningaft', 'lifestyl', 'fashiontrend', 'styleblogg', 'fashioninspo', 'fashion', 'style', 'model', 'paint', 'makeup', 'fashionblogg', '']","['whats', 'outfit', 'tonight', 'streaming', 'everywhere', 'link', 'bio', 'saturday', 'weekend', 'sexpositive', 'weekendmood', 'deephouse', 'techhouse', 'spotify', 'theeveningafter', 'lifestyle', 'fashiontrends', 'styleblogger', 'fashioninspo', 'fashion', 'style', 'model', 'painting', 'makeup', 'fashionblogger', '']"
fashiontrends,"#Acelitt #Women Short Sleeve V Neck Button Belted

#fashionstylist #woman #Jewellry #womanfashion #clothe #clothes
#fashion #fashionblogger #womenstyle #fashiontrends
#amazonseller #amazondeals #AmazonBestSeller #amazonprime #accessories #accessory #USA","Acelitt Women Short Sleeve V Neck Button Belted

fashionstylist woman Jewellry womanfashion clothe clothes
fashion fashionblogger womenstyle fashiontrends
amazonseller amazondeals AmazonBestSeller amazonprime accessories accessory USA","['acelitt', 'women', 'short', 'sleeve', 'v', 'neck', 'button', 'belted', 'fashionstylist', 'woman', 'jewellry', 'womanfashion', 'clothe', 'clothes', 'fashion', 'fashionblogger', 'womenstyle', 'fashiontrends', 'amazonseller', 'amazondeals', 'amazonbestseller', 'amazonprime', 'accessories', 'accessory', 'usa']","['acelitt', 'women', 'short', 'sleeve', 'v', 'neck', 'button', 'belted', 'fashionstylist', 'woman', 'jewellry', 'womanfashion', 'clothe', 'clothes', 'fashion', 'fashionblogger', 'womenstyle', 'fashiontrends', 'amazonseller', 'amazondeals', 'amazonbestseller', 'amazonprime', 'accessories', 'accessory', 'usa']","['acelitt', 'women', 'short', 'sleev', 'v', 'neck', 'button', 'belt', 'fashionstylist', 'woman', 'jewellri', 'womanfashion', 'cloth', 'cloth', 'fashion', 'fashionblogg', 'womenstyl', 'fashiontrend', 'amazonsel', 'amazond', 'amazonbestsel', 'amazonprim', 'accessori', 'accessori', 'usa']","['acelitt', 'woman', 'short', 'sleeve', 'v', 'neck', 'button', 'belted', 'fashionstylist', 'woman', 'jewellry', 'womanfashion', 'clothe', 'clothes', 'fashion', 'fashionblogger', 'womenstyle', 'fashiontrends', 'amazonseller', 'amazondeals', 'amazonbestseller', 'amazonprime', 'accessory', 'accessory', 'usa']"
fashiontrends,"A visual adventure to this festive season's celebrations



#Fashion  #Shopping  #FashionTrends  #ShoppingIdeas #BrighterThanEver @jimSarbh @ManushiChhillar @shantanum07 @ZaedenMusic #AmitKothari @hm @hmindia #HMHOME @myntra #MadeinIndia @oh_women ","A visual adventure to this festive seasons celebrations



Fashion  Shopping  FashionTrends  ShoppingIdeas BrighterThanEver jimSarbh ManushiChhillar shantanum07 ZaedenMusic AmitKothari hm hmindia HMHOME myntra MadeinIndia oh_women ","['a', 'visual', 'adventure', 'to', 'this', 'festive', 'seasons', 'celebrations', 'fashion', 'shopping', 'fashiontrends', 'shoppingideas', 'brighterthanever', 'jimsarbh', 'manushichhillar', 'shantanum07', 'zaedenmusic', 'amitkothari', 'hm', 'hmindia', 'hmhome', 'myntra', 'madeinindia', 'oh_women', '']","['visual', 'adventure', 'festive', 'seasons', 'celebrations', 'fashion', 'shopping', 'fashiontrends', 'shoppingideas', 'brighterthanever', 'jimsarbh', 'manushichhillar', 'shantanum07', 'zaedenmusic', 'amitkothari', 'hm', 'hmindia', 'hmhome', 'myntra', 'madeinindia', 'oh_women', '']","['visual', 'adventur', 'festiv', 'season', 'celebr', 'fashion', 'shop', 'fashiontrend', 'shoppingidea', 'brighterthanev', 'jimsarbh', 'manushichhillar', 'shantanum07', 'zaedenmus', 'amitkothari', 'hm', 'hmindia', 'hmhome', 'myntra', 'madeinindia', 'oh_women', '']","['visual', 'adventure', 'festive', 'season', 'celebration', 'fashion', 'shopping', 'fashiontrends', 'shoppingideas', 'brighterthanever', 'jimsarbh', 'manushichhillar', 'shantanum07', 'zaedenmusic', 'amitkothari', 'hm', 'hmindia', 'hmhome', 'myntra', 'madeinindia', 'oh_women', '']"
fashiontrends,"Up to 80% off #Jewelry com

#dress #clothes #clothesline #fashionstylist #women #jewelrydesigner #jewelrydesign
#fashion #fashionblogger #fashioninspiration #womenstyle #fashiontrends #accessories #Accessory #jewellry #usa #ebay #ebaystore","Up to 80 off Jewelry com

dress clothes clothesline fashionstylist women jewelrydesigner jewelrydesign
fashion fashionblogger fashioninspiration womenstyle fashiontrends accessories Accessory jewellry usa ebay ebaystore","['up', 'to', '80', 'off', 'jewelry', 'com', 'dress', 'clothes', 'clothesline', 'fashionstylist', 'women', 'jewelrydesigner', 'jewelrydesign', 'fashion', 'fashionblogger', 'fashioninspiration', 'womenstyle', 'fashiontrends', 'accessories', 'accessory', 'jewellry', 'usa', 'ebay', 'ebaystore']","['80', 'jewelry', 'com', 'dress', 'clothes', 'clothesline', 'fashionstylist', 'women', 'jewelrydesigner', 'jewelrydesign', 'fashion', 'fashionblogger', 'fashioninspiration', 'womenstyle', 'fashiontrends', 'accessories', 'accessory', 'jewellry', 'usa', 'ebay', 'ebaystore']","['80', 'jewelri', 'com', 'dress', 'cloth', 'clotheslin', 'fashionstylist', 'women', 'jewelrydesign', 'jewelrydesign', 'fashion', 'fashionblogg', 'fashioninspir', 'womenstyl', 'fashiontrend', 'accessori', 'accessori', 'jewellri', 'usa', 'ebay', 'ebaystor']","['80', 'jewelry', 'com', 'dress', 'clothes', 'clothesline', 'fashionstylist', 'woman', 'jewelrydesigner', 'jewelrydesign', 'fashion', 'fashionblogger', 'fashioninspiration', 'womenstyle', 'fashiontrends', 'accessory', 'accessory', 'jewellry', 'usa', 'ebay', 'ebaystore']"
fashiontrends,"#PRETTYGARDEN #Women's Two Piece Tracksuit

#fashionstylist #woman #Jewellry #womanfashion #clothe #clothes
#fashion #fashionblogger #womenstyle #fashiontrends
#amazonseller #amazondeals #AmazonBestSeller #amazonprime #accessories #accessory #USA","PRETTYGARDEN Womens Two Piece Tracksuit

fashionstylist woman Jewellry womanfashion clothe clothes
fashion fashionblogger womenstyle fashiontrends
amazonseller amazondeals AmazonBestSeller amazonprime accessories accessory USA","['prettygarden', 'womens', 'two', 'piece', 'tracksuit', 'fashionstylist', 'woman', 'jewellry', 'womanfashion', 'clothe', 'clothes', 'fashion', 'fashionblogger', 'womenstyle', 'fashiontrends', 'amazonseller', 'amazondeals', 'amazonbestseller', 'amazonprime', 'accessories', 'accessory', 'usa']","['prettygarden', 'womens', 'two', 'piece', 'tracksuit', 'fashionstylist', 'woman', 'jewellry', 'womanfashion', 'clothe', 'clothes', 'fashion', 'fashionblogger', 'womenstyle', 'fashiontrends', 'amazonseller', 'amazondeals', 'amazonbestseller', 'amazonprime', 'accessories', 'accessory', 'usa']","['prettygarden', 'women', 'two', 'piec', 'tracksuit', 'fashionstylist', 'woman', 'jewellri', 'womanfashion', 'cloth', 'cloth', 'fashion', 'fashionblogg', 'womenstyl', 'fashiontrend', 'amazonsel', 'amazond', 'amazonbestsel', 'amazonprim', 'accessori', 'accessori', 'usa']","['prettygarden', 'woman', 'two', 'piece', 'tracksuit', 'fashionstylist', 'woman', 'jewellry', 'womanfashion', 'clothe', 'clothes', 'fashion', 'fashionblogger', 'womenstyle', 'fashiontrends', 'amazonseller', 'amazondeals', 'amazonbestseller', 'amazonprime', 'accessory', 'accessory', 'usa']"
