Brand,Category,Color0,Color1,Color2,Color3,Color4,Color5,Rating,URL,Average_Price,C0_stock,C1_stock,C2_stock,C3_stock,C4_stock,C5_stock,Total_stock,Gender,Price_type
Camper,Shoes,Multicolor,,,,,,5,https://www.macys.com/shop/product/camper-mens-match-hombre-t-strap-sandals?ID=13241300&CategoryID=197651,NA,15,0,0,0,0,0,15,Men,NA
Timberland,Shoes,Black,Dark Brown,,,,,4.5767,https://www.macys.com/shop/product/timberland-mens-mt.-maddsen-mid-waterproof-hiking-boots?ID=4794798&CategoryID=197651,89.95,66,66,0,0,0,0,132,Men,Reasonable
Weatherproof Vintage,Men,Black,Rosin,Navy,Port,Pumpkin,,0,https://www.macys.com/shop/product/weatherproof-vintage-mens-lightweight-hexagon-quilted-vest?ID=14592771&CategoryID=197651,49,10,10,10,10,10,0,50,Men,Reasonable
Michael Kors,Casual Button-Down Shirts,Black,White,Dark Blue,Alloy Gray,,,4.5116,https://www.macys.com/shop/product/michael-kors-mens-solid-stretch-shirt?ID=5735700&CategoryID=197651,62.65,10,10,10,10,0,0,40,Men,Reasonable
Tommy Hilfiger,Blazers & Sport Coats,Brown,,,,,,0,https://www.macys.com/shop/product/tommy-hilfiger-mens-modern-fit-plaid-sport-coat?ID=13989527&CategoryID=197651,139.99,91,0,0,0,0,0,91,Men,Expensive
Calvin Klein,Coats & Jackets,Black,,,,,,4.2727,https://www.macys.com/shop/product/calvin-klein-mens-quilted-baseball-jacket?ID=11335709&CategoryID=197651,95.55,10,0,0,0,0,0,10,Men,Reasonable
Lauren Ralph Lauren,Blazers & Sport Coats,Black/grey,Light Blue,Navy,Forest Green,Wine/black,Oatmeal,0,https://www.macys.com/shop/product/lauren-ralph-lauren-mens-classic-fit-herringbone-sport-coat?ID=14020857&CategoryID=197651,139.99,136,129,190,138,190,155,938,Men,Expensive
Diesel,General,Black,,,,,,5,https://www.macys.com/shop/product/diesel-mens-chronograph-mega-chief-black-silicone-strap-watch-51x59mm-dz4378?ID=2372398&CategoryID=197651,140.63,0,0,0,0,0,0,0,Men,Expensive
Macy's,Bracelets,Gold Over Silver,Silver,,,,,2.2,https://www.macys.com/shop/product/mens-diamond-link-bracelet-1-ct.-t.w.-in-14k-gold-plated-sterling-silver-sterling-silver?ID=6896991&CategoryID=197651,577.5,0,0,0,0,0,0,0,Men,Expensive
Dockers,Pants,British Khaki,Steelhead,Black Metal,Porcelain Khaki,Navy,,4.4816,https://www.macys.com/shop/product/dockers-mens-comfort-relaxed-fit-khaki-stretch-pants?ID=2325101&CategoryID=197651,40.6,199,73,136,77,127,0,612,Men,Reasonable
Nautica,Suits & Tuxedos,Khaki,White,Light Blue,Light Grey,,,3,https://www.macys.com/shop/product/nautica-mens-modern-fit-stretch-cotton-solid-suit?ID=13803270&CategoryID=197651,89.99,66,136,109,93,0,0,404,Men,Reasonable
Nautica,Blazers & Sport Coats,Carmel,Burgundy,Black,,,,4.6667,https://www.macys.com/shop/product/nautica-mens-modern-fit-faux-suede-sport-coat?ID=7774902&CategoryID=197651,79.99,153,153,136,0,0,0,442,Men,Reasonable
Marc New York,Suits & Tuxedos,Black Solid,Navy,Grey,,,,4.0702,https://www.macys.com/shop/product/marc-new-york-by-andrew-marc-mens-modern-fit-suit?ID=10529893&CategoryID=197651,99.99,3,45,41,0,0,0,89,Men,Reasonable
Calvin Klein,Men,Denim,,,,,,4.6429,https://www.macys.com/shop/product/calvin-klein-mens-infinite-color-sustainable-slim-fit-dress-shirt?ID=12685364&CategoryID=197651,25.06,45,0,0,0,0,0,45,Men,Reasonable
Nautica,Suits & Tuxedos,White,Yellow,Light Blue,Pink,Royal Blue,,2.75,https://www.macys.com/shop/product/nautica-mens-modern-fit-cotton-linen-blend-suit?ID=13803274&CategoryID=197651,89.99,45,105,120,105,136,0,511,Men,Reasonable
Italian Gold,Necklaces,Gold,,,,,,2.8095,https://www.macys.com/shop/product/italian-gold-18-22-miami-cuban-link-chain-necklace-3mm-in-14k-gold?ID=12392183&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Haggar,Pants,Black,Sand,Med Khaki,Dark Grey,Dark Navy,Heather Grey,4.4198,https://www.macys.com/shop/product/haggar-mens-iron-free-premium-khaki-straight-fit-flat-front-pant?ID=9186610&CategoryID=197651,45.49,300,286,300,190,293,225,1594,Men,Reasonable
Nunn Bush,Shoes,Black,Brown,Dark Brown,Gray,,,4.4063,https://www.macys.com/shop/product/nunn-bush-mens-kore-city-walk-slip-on-sneakers?ID=10344666&CategoryID=197651,54.99,231,231,199,129,0,0,790,Men,Reasonable
Giani Bernini,Necklaces,Silver,Gold Over Silver,,,,,4.3333,https://www.macys.com/shop/product/flat-curb-link-chain-necklace-18-24-in-sterling-silver-or-18k-gold-plated-silver-silver?ID=12878910&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
