Brand,Category,Color0,Color1,Color2,Color3,Color4,Color5,Rating,URL,Average_Price,C0_stock,C1_stock,C2_stock,C3_stock,C4_stock,C5_stock,Total_stock,Gender,Price_type
Calvin Klein,Coats & Jackets,Black,New Navy,Iron,Deep Red,Lt Grey Heather,White,4.6235,https://www.macys.com/shop/product/calvin-klein-mens-infinite-stretch-soft-shell-jacket?ID=9447534&CategoryID=197651,55.99,21,21,21,21,21,21,141,Men,Reasonable
Michael Kors,Blazers & Sport Coats,Navy,Black,,,,,4.8,https://www.macys.com/shop/product/michael-kors-mens-modern-fit-stretch-solid-blazer?ID=10671754&CategoryID=197651,119.99,210,210,0,0,0,0,420,Men,Expensive
Wells Lamont,Coats & Jackets,Black,Red,,,,,5,https://www.macys.com/shop/product/wells-lamont-mens-yarn-dye-twill-polar-fleece-flannel-bonded-overshirt-jacket-with-hoodie?ID=11100636&CategoryID=197651,28,6,10,0,0,0,0,16,Men,Reasonable
Lauren Ralph Lauren,Blazers & Sport Coats,Black,Camel,Green,Crimson,,,4.587,https://www.macys.com/shop/product/lauren-ralph-lauren-mens-classic-fit-ultraflex-corduroy-sport-coat?ID=13795450&CategoryID=197651,177,182,210,204,210,0,0,806,Men,Expensive
Lacoste,Polos,White,Balneaire,Brasilia,Friandise,,,4,https://www.macys.com/shop/product/lacoste-mens-regular-fit-fresh-semi-fancy-polo-shirt-created-for-macys?ID=12095513&CategoryID=197651,51.45,3,15,15,15,0,0,48,Men,Reasonable
Van Heusen,Suits & Tuxedos,Black,Dark Navy,Black Herringbone,Bright Navy Blue Solid,Black / White Tic,Medium Grey Sharkskin,3.9733,https://www.macys.com/shop/product/van-heusen-mens-flex-plain-slim-fit-suits?ID=11422323&CategoryID=197651,99.99,133,130,136,109,136,136,1048,Men,Reasonable
Nautica,Suits & Tuxedos,Blue Solid,Charcoal solid,Navy Plaid,Blue plaid,Light grey solid,Navy birdseye,3.5938,https://www.macys.com/shop/product/nautica-mens-modern-fit-bi-stretch-suit?ID=11318480&CategoryID=197651,99.99,3,28,48,4,47,17,147,Men,Reasonable
Kenneth Cole Reaction,Suits & Tuxedos,White,Cream,Tan/Grey Plaid,,,,4.8,https://www.macys.com/shop/product/kenneth-cole-reaction-mens-slim-fit-ready-flex-stretch-suit?ID=13699230&CategoryID=197651,89.99,55,25,33,0,0,0,113,Men,Reasonable
IZOD,Suits & Tuxedos,Dark Blue Windowpane,Black Pindot,Grey Solid,Navy,Charcoal,Black,4.2472,https://www.macys.com/shop/product/izod-mens-classic-fit-suits?ID=10513321&CategoryID=197651,99.99,3,3,2,105,6,12,151,Men,Reasonable
Kenneth Cole Reaction,Pants,Black,Medium Grey,Dark Navy,Oatmeal,Light Grey,Off White,4.4709,https://www.macys.com/shop/product/kenneth-cole-reaction-mens-slim-fit-stretch-dress-pants-created-for-macys?ID=2618336&CategoryID=197651,44.99,300,231,231,210,189,230,1761,Men,Reasonable
Tommy Hilfiger,Casual Button-Down Shirts,Golden Rays,,,,,,0,https://www.macys.com/shop/product/tommy-hilfiger-mens-mavis-plaid-long-sleeve-classic-fit-shirt?ID=14573797&CategoryID=197651,48.65,15,0,0,0,0,0,15,Men,Reasonable
The North Face,Coats & Jackets,Goblin Blue/banff Blue/aviator Navy,,,,,,4.6667,https://www.macys.com/shop/product/the-north-face-mens-cyclone-2.0-hooded-jacket?ID=12317564&CategoryID=197651,NA,6,0,0,0,0,0,6,Men,NA
Reebok,Underwear & Socks,Black,White,Grey,,,,4.6207,https://www.macys.com/shop/product/reebok-mens-athletic-low-cut-socks-6-pk.?ID=14149314&CategoryID=197651,12.6,0,0,0,0,0,0,0,Men,Reasonable
Calvin Klein,Shoes,Black,Tan,,,,,4.0488,https://www.macys.com/shop/product/calvin-klein-mens-magnus-driver?ID=1976815&CategoryID=197651,85.05,66,66,0,0,0,0,132,Men,Reasonable
BASS OUTDOOR,Coats & Jackets,Black Beauty,Buffao Check Blue/black,Buffalo Check Red/black,Gargoyle,,,5,https://www.macys.com/shop/product/bass-outdoor-mens-mission-quilted-puffer-shirt-jacket?ID=14660598&CategoryID=197651,NA,10,10,10,10,0,0,40,Men,NA
Polo Ralph Lauren,Underwear & Socks,Charcoal /Rugby Royal /Polo Black,Charcoal /Red / Polo Black,Black Assorted,Black/Orange/Green,,,4.4595,https://www.macys.com/shop/product/polo-ralph-lauren-mens-3-pk.-4-d-flex-cool-microfiber-boxer-briefs?ID=9935313&CategoryID=197651,34.65,6,6,6,6,0,0,24,Men,Reasonable
Tommy Hilfiger,Blazers & Sport Coats,Navy,Black,Tan,Brown Solid,Charcoal,White,4.0305,https://www.macys.com/shop/product/tommy-hilfiger-mens-modern-fit-burgundy-brown-check-blazer-dress-pants?ID=14527666&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Levi's,Jeans,Dolf Zibble,Ticket To Ride,Dolf Make It,Dolf Gotta Get,Myers Dust Dx,Farfar Away Black,3.6471,https://www.macys.com/shop/product/levis-mens-511-slim-fit-eco-performance-jeans?ID=12411357&CategoryID=197651,40.575,445,412,471,405,136,424,3775,Men,Reasonable
Levi's,Jeans,True Chino,Dk Hollow,Goldenrod,Hawthorne Closed Book,,,4.4,https://www.macys.com/shop/product/levis-mens-502-taper-jeans?ID=2834394&CategoryID=197651,46.355,353,346,379,313,0,0,1391,Men,Reasonable
Michael Kors,Coats & Jackets,Black,White,Carbon,True Red,,,4.2105,https://www.macys.com/shop/product/michael-kors-mens-shiny-hooded-puffer-jacket-created-for-macys?ID=12635745&CategoryID=197651,122.5,10,10,4,10,0,0,34,Men,Expensive
Calvin Klein,Dress Shirts,White,Smoke,Black,Blue,Lilac,Blue Velvet,4.5554,https://www.macys.com/shop/product/calvin-klein-steel-mens-slim-fit-non-iron-performance-herringbone-point-collar-dress-shirt?ID=1649578&CategoryID=197651,55.65,136,153,152,153,153,153,1023,Men,Reasonable
Polo Ralph Lauren,Pajamas & Robes,Black/White,Navy,Black/Red,Beach Blue,,,4.2589,https://www.macys.com/shop/product/polo-ralph-lauren-mens-polo-player-pajama-pants?ID=180067&CategoryID=197651,34.65,6,6,6,6,0,0,24,Men,Reasonable
Polo Ralph Lauren,Casual Button-Down Shirts,New Forest Multi,,,,,,5,https://www.macys.com/shop/product/polo-ralph-lauren-mens-classic-fit-logo-mesh-polo-shirt?ID=13350196&CategoryID=197651,93.75,10,0,0,0,0,0,10,Men,Reasonable
Levi's,Jeans,Med Stonewash,Timberwolf,Black Canvas,In The Valley,Indigo Rinse,What Time,4.2903,https://www.macys.com/shop/product/levis-mens-505-workwear-fit-jeans?ID=11326283&CategoryID=197651,41.84,324,292,281,293,311,305,1945,Men,Reasonable
Levi's,Jeans,Nail Loop Knot,Fremont Drop Shot,Iron Ore,Medal Bronze,Shadow,Northern Spotted,3.976,https://www.macys.com/shop/product/levis-mens-505-regularecoeasejeans?ID=11664825&CategoryID=197651,40.575,382,386,421,202,310,368,3317,Men,Reasonable
Dockers,Pants,Black,Ermine,Pembroke,,,,4.6287,https://www.macys.com/shop/product/dockers-mens-alpha-smart-360-flex-slim-fit-chinos?ID=10459071&CategoryID=197651,54.6,171,171,171,0,0,0,513,Men,Reasonable
Kenneth Cole Reaction,Suits & Tuxedos,Charcoal,Light Grey,Navy,Black,Blue,,4.5383,https://www.macys.com/shop/product/kenneth-cole-reaction-mens-ready-flex-basketweave-slim-fit-suit?ID=4799182&CategoryID=197651,119.99,153,105,153,171,64,0,646,Men,Expensive
Johnston & Murphy,Shoes,Tan,Black,,,,,4.7551,https://www.macys.com/shop/product/johnston-murphy-mens-tabor-plain-toe-oxford?ID=2033260&CategoryID=197651,99.9,120,45,0,0,0,0,165,Men,Reasonable
GUESS,Casual Button-Down Shirts,Phoenix Palm Print Stone,Phoenix Palm Print,,,,,0,https://www.macys.com/shop/product/guess-mens-palm-print-short-sleeve-shirt?ID=14248622&CategoryID=197651,43.61,10,10,0,0,0,0,20,Men,Reasonable
Alfani,Accessories,Black,Grey,,,,,0,https://www.macys.com/shop/product/alfani-small-laptop-backpack-created-for-macys?ID=14624884&CategoryID=197651,39.2,0,0,0,0,0,0,0,Men,Reasonable
Club Room,Coats & Jackets,Black,Navy,Heather Grey,Red,Yellow,,5,https://www.macys.com/shop/product/club-room-mens-3-in-1-hooded-jacket-created-for-macys?ID=12647373&CategoryID=197651,119,10,10,10,10,6,0,46,Men,Expensive
Esquire Men's Jewelry,Bracelets,Blue/Steel,Gold-Tone/Steel,,,,,4,https://www.macys.com/shop/product/esquire-mens-jewelry-two-tone-curb-link-chain-bracelet-created-for-macys?ID=13015516&CategoryID=197651,57.75,0,0,0,0,0,0,0,Men,Reasonable
Macy's,Jewelry & Watches,White Gold,Yellow Gold,,,,,0,https://www.macys.com/shop/product/mens-diamond-extra-small-huggie-hoop-earrings-1-4-ct.-tw-in-10k-gold-12mm-also-in-10k-white-gold?ID=13253456&CategoryID=197651,423.5,0,0,0,0,0,0,0,Men,Expensive
Tommy Hilfiger,Coats & Jackets,Black,Midnight,"Midnight, Ice, Red",,,,4.5,https://www.macys.com/shop/product/tommy-hilfiger-mens-classic-puffer-vest-jacket?ID=13096928&CategoryID=197651,95.55,10,10,10,0,0,0,30,Men,Reasonable
Levi's,Coats & Jackets,Black,Khaki,Olive,,,,4.6,https://www.macys.com/shop/product/levis-mens-regular-fit-diamond-quilted-bomber-jacket?ID=13720463&CategoryID=197651,73.5,10,10,6,0,0,0,26,Men,Reasonable
Levi's,Coats & Jackets,Navy Ombre Plaid,Brown Skater Plaid,,,,,0,https://www.macys.com/shop/product/levis-mens-flannel-shirt-jacket?ID=14286748&CategoryID=197651,78.26,10,10,0,0,0,0,20,Men,Reasonable
New Balance,Finish Line Men's Shoes,"Ocean Gray, Spring Green",,,,,,0,https://www.macys.com/shop/product/new-mens-balance-fresh-foam-680v7-running-sneakers-from-finish-line?ID=13498510&CategoryID=197651,NA,55,0,0,0,0,0,55,Men,NA
Nunn Bush,Shoes,Black Tumble,Brown Crazy Horse,Rust,Tan Crazy Horse,,,5,https://www.macys.com/shop/product/nunn-bush-mens-ozark-plain-chukka-boots?ID=9911283&CategoryID=197651,84.99,210,312,5,322,0,0,849,Men,Reasonable
Rockport,Men,Cognac,Black II,Dark Brown,,,,3.9815,https://www.macys.com/shop/product/mens-classic-penny-loafer-shoes?ID=1981573&CategoryID=197651,84.95,24,357,131,0,0,0,512,Men,Reasonable
Lauren Ralph Lauren,Blazers & Sport Coats,Navy,,,,,,4.6667,https://www.macys.com/shop/product/lauren-ralph-lauren-mens-classic-fit-ultraflex-stretch-navy-mini-check-blazer?ID=6308812&CategoryID=197651,119.99,276,0,0,0,0,0,276,Men,Expensive
Polo Ralph Lauren,Hoodies & Sweatshirts,Aviator Navy,Light Sport Heather,,,,,4.7639,https://www.macys.com/shop/product/polo-ralph-lauren-mens-double-knit-full-zip-hoodie?ID=14470437&CategoryID=197651,93.75,0,3,0,0,0,0,3,Men,Reasonable
Giani Bernini,Necklaces,Silver,Gold Over Silver,,,,,3.96,https://www.macys.com/shop/product/giani-bernini-thin-rope-chain-necklace-16-24-1.5mm-in-18k-gold-plate-over-sterling-silver-or-sterling-silver-created-for-macys?ID=12963724&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
adidas,Finish Line Men's Shoes,"Bliss, Cream White",,,,,,4.7253,https://www.macys.com/shop/product/adidas-originals-mens-nmd-r1-casual-sneakers-from-finish-line?ID=12449661&CategoryID=197651,NA,55,0,0,0,0,0,55,Men,NA
Cole Haan,Shoes,Black Smooth,British Tan,,,,,4.4211,https://www.macys.com/shop/product/cole-haan-mens-goldwyn-2.0-crisscross-sandal?ID=5701003&CategoryID=197651,52.5,15,21,0,0,0,0,36,Men,Reasonable
Clarks,Shoes,Dark Tan Leather,,,,,,4.5227,https://www.macys.com/shop/product/clarks-mens-tilden-cap-toe-oxford?ID=2768902&CategoryID=197651,63,231,0,0,0,0,0,231,Men,Reasonable
Michael Kors,General,Black,,,,,,4.6,https://www.macys.com/shop/product/michael-kors-blake-three-hand-black-stainless-steel-mesh-watch-42mm?ID=11099493&CategoryID=197651,150,0,0,0,0,0,0,0,Men,Expensive
Calvin Klein,Coats & Jackets,Black,True Navy,Deep Red,,,,4.9231,https://www.macys.com/shop/product/calvin-klein-mens-high-shine-hooded-jacket?ID=11334129&CategoryID=197651,122.5,10,1,3,0,0,0,14,Men,Expensive
adidas,Finish Line Men's Shoes,"Cloud White, Black Speckle",,,,,,4.6802,https://www.macys.com/shop/product/adidas-mens-nmd-r1-casual-sneakers-from-finish-line?ID=12579394&CategoryID=197651,NA,45,0,0,0,0,0,45,Men,NA
iTouch,General,Black,,,,,,4.4474,https://www.macys.com/shop/product/connected-mens-hybrid-smartwatch-fitness-tracker-black-case-with-black-silicone-strap-44mm?ID=11334262&CategoryID=197651,59.99,0,0,0,0,0,0,0,Men,Reasonable
G-Shock,General,White,,,,,,5,https://www.macys.com/shop/product/g-shock-mens-analog-digital-clear-resin-strap-watch-45.4mm-ga2100ske-7a?ID=11748504&CategoryID=197651,88,0,0,0,0,0,0,0,Men,Reasonable
Tommy Hilfiger,Blazers & Sport Coats,Charcoal/brown,,,,,,0,https://www.macys.com/shop/product/tommy-hilfiger-mens-modern-fit-check-sport-coat?ID=13989523&CategoryID=197651,139.99,136,0,0,0,0,0,136,Men,Expensive
Fila,Finish Line Men's Shoes,"Castlerock, Black",,,,,,5,https://www.macys.com/shop/product/fila-mens-evergrand-trail-running-sneakers-from-finish-line?ID=12894802&CategoryID=197651,NA,66,0,0,0,0,0,66,Men,NA
Tommy Hilfiger,Blazers & Sport Coats,Wine,,,,,,0,https://www.macys.com/shop/product/tommy-hilfiger-mens-wine-modern-fit-sport-coat?ID=13989528&CategoryID=197651,139.99,91,0,0,0,0,0,91,Men,Expensive
Marc New York,Coats & Jackets,Black,Blue Heather,Charcoal,,,,3.4,https://www.macys.com/shop/product/marc-new-york-mens-dorsey-car-coat?ID=13077498&CategoryID=197651,144.55,10,10,10,0,0,0,30,Men,Expensive
Versace,Sunglasses,GOLD/GREY,,,,,,4.4286,https://www.macys.com/shop/product/versace-sunglasses-ve2212-57?ID=10009592&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Alfani,Shoes,Brown,Black,,,,,4,https://www.macys.com/shop/product/alfani-mens-faux-leather-lace-up-cap-toe-dress-shoes-created-for-macys?ID=14187333&CategoryID=197651,33.59,66,66,0,0,0,0,132,Men,Reasonable
INC International Concepts,Blazers & Sport Coats,Deep Black,,,,,,0,https://www.macys.com/shop/product/i.n.c.-international-concepts-mens-slim-fit-floral-suit-jacket-created-for-macys?ID=14147826&CategoryID=197651,73.23,15,0,0,0,0,0,15,Men,Reasonable
Polo Ralph Lauren,Underwear & Socks,Polo Black,,,,,,3.5556,https://www.macys.com/shop/product/polo-ralph-lauren-mens-5-pack-classic-crewneck-undershirts?ID=11649157&CategoryID=197651,41.65,10,0,0,0,0,0,10,Men,Reasonable
Marc New York,Coats & Jackets,Black,Charcoal,Heather Blue,,,,4.4,https://www.macys.com/shop/product/marc-new-york-mens-harrington-bomber-jacket?ID=13077499&CategoryID=197651,122.5,10,10,10,0,0,0,30,Men,Expensive
Tommy Hilfiger,Blazers & Sport Coats,Grey/brown,,,,,,0,https://www.macys.com/shop/product/tommy-hilfiger-mens-modern-fit-plaid-sport-coat?ID=13989526&CategoryID=197651,139.99,78,0,0,0,0,0,78,Men,Expensive
Versace,Sunglasses,FUXIA FLUO/GREY,GREEN FLUO/GREY,,,,,4.9,https://www.macys.com/shop/product/versace-sunglasses-ve4361-53?ID=10559165&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
PRADA LINEA ROSSA,Sunglasses,BLACK DEMISHINY/POLAR GREY,,,,,,3.1429,https://www.macys.com/shop/product/prada-linea-rossa-polarized-sunglasses-ps-06vs-58?ID=10559086&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Club Room,Coats & Jackets,White Pure,Natural Khaki,Safari Tan,Chambray,Grey Slate,,4.3478,https://www.macys.com/shop/product/club-room-mens-linen-blazer-created-for-macys?ID=12576115&CategoryID=197651,67.2,10,10,6,10,10,0,46,Men,Reasonable
Lauren Ralph Lauren,Blazers & Sport Coats,Bright Blue,,,,,,4.5804,https://www.macys.com/shop/product/lauren-ralph-lauren-mens-classic-fit-neat-ultraflex-sport-coat?ID=4331551&CategoryID=197651,119.99,300,0,0,0,0,0,300,Men,Expensive
Michael Kors,Coats & Jackets,Black,Gun Metal,Olive,Midnight Blue,Pacific Blue,,0,https://www.macys.com/shop/product/michael-kors-mens-quilted-hooded-puffer-jacket?ID=14510062&CategoryID=197651,110.25,10,10,10,10,10,0,50,Men,Expensive
Timberland,Shoes,Black Full Grain,Brown Full Grain,,,,,4.6842,https://www.macys.com/shop/product/timberland-mens-mt.-major-ii-mid-waterproof-hiking-boots?ID=11304652&CategoryID=197651,NA,14,10,0,0,0,0,24,Men,NA
Tommy Hilfiger,Blazers & Sport Coats,Blue/red,,,,,,5,https://www.macys.com/shop/product/tommy-hilfiger-mens-modern-fit-check-sport-coat?ID=13989524&CategoryID=197651,139.99,136,0,0,0,0,0,136,Men,Expensive
Kenneth Cole,Shoes,Black,Cognac,,,,,3.2578,https://www.macys.com/shop/product/unlisted-by-kenneth-cole-mens-lesson-plan-oxfords?ID=4311591&CategoryID=197651,42,66,66,0,0,0,0,132,Men,Reasonable
Levi's,Coats & Jackets,Black,Navy,,,,,4.7143,https://www.macys.com/shop/product/levis-mens-fleece-lined-corduroy-trucker-jacket?ID=10238169&CategoryID=197651,110.25,10,10,0,0,0,0,20,Men,Expensive
Macy's,Jewelry & Watches,Yellow Gold,White Gold,,,,,0,https://www.macys.com/shop/product/mens-diamond-milgrain-bead-band-1-ct.-t.w.-in-14k-gold?ID=13528062&CategoryID=197651,1540,6,10,0,0,0,0,16,Men,Expensive
INC International Concepts,Blazers & Sport Coats,Basic Navy,,,,,,5,https://www.macys.com/shop/product/i.n.c.-international-concepts-mens-slim-fit-houndstooth-suit-jacket-with-attached-hoodie-created-for-macys?ID=14147827&CategoryID=197651,73.23,15,0,0,0,0,0,15,Men,Reasonable
Macy's,Jewelry & Watches,White Gold,Yellow Gold,,,,,4.7895,https://www.macys.com/shop/product/mens-diamond-brushed-band-in-10k-gold-1-10-ct.-t.w.?ID=1740480&CategoryID=197651,375.38,21,9,0,0,0,0,30,Men,Expensive
Nautica,Casual Button-Down Shirts,Bright White,Riviera Blue,Light French Blue,Cradlepink,Atlantis Green,Sailor Red,4.1875,https://www.macys.com/shop/product/nautica-mens-classic-fit-stretch-solid-oxford-button-down-shirt?ID=4885933&CategoryID=197651,45.066,21,21,21,7,16,10,106,Men,Reasonable
Fossil,General,Brown/Black,,,,,,4.5985,https://www.macys.com/shop/product/fossil-mens-chronograph-grant-brown-leather-strap-watch-44mm?ID=821712&CategoryID=197651,78.75,0,0,0,0,0,0,0,Men,Reasonable
TruMiracle,Jewelry & Watches,White Gold,Yellow Gold,Rose Gold,,,,4.0957,https://www.macys.com/shop/product/trumiracle-diamond-stud-earrings-1-2-to-1-1-2-ct.-t.w.-in-14k-gold?ID=10168252&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Versace,Sunglasses,MATTE BLACK / LIGHT GREY MIRROR SILVER,,,,,,4.1429,https://www.macys.com/shop/product/versace-sunglasses-ve2199-56?ID=6587202&CategoryID=197651,NA,0,0,0,0,0,0,0,Men,NA
Alfani,Accessories,Black,Brown,,,,,0,https://www.macys.com/shop/product/alfani-mens-messenger-bag-created-for-macys?ID=13421394&CategoryID=197651,39.2,0,0,0,0,0,0,0,Men,Reasonable
Rockport,Men,Cognac Antique-Like,Java,Tan,Black,,,3.96,https://www.macys.com/shop/product/mens-palmer-venetian-loafer-shoes?ID=11426509&CategoryID=197651,89.95,353,44,37,171,0,0,605,Men,Reasonable
Stacy Adams,Shoes,Cognac Multi,,,,,,0,https://www.macys.com/shop/product/stacy-adams-mens-finnegan-wingtip-lace-up-boots?ID=12582951&CategoryID=197651,117,105,0,0,0,0,0,105,Men,Expensive
Calvin Klein,Suits & Tuxedos,Black,Navy,Charcoal,Blue,Light Grey,,4.5563,https://www.macys.com/shop/product/calvin-klein-mens-infinite-stretch-solid-slim-fit-suit-jacket?ID=2324421,225,210,190,268,222,153,0,1043,Men,Expensive
Calvin Klein,Pants,Blue,Charcoal,Light Grey,Black,Navy,,4.5208,https://www.macys.com/shop/product/calvin-klein-mens-infinite-stretch-solid-slim-fit-pants?ID=2711143,95,266,253,179,224,183,0,1105,Men,Reasonable
Calvin Klein,Vests,Charcoal,Black,Navy,Blue,,,3.5714,https://www.macys.com/shop/product/calvin-klein-mens-x-fit-stretch-solid-suit-vest?ID=6410642,62.5,6,6,6,6,0,0,24,Men,Reasonable
Lauren Ralph Lauren,Pants,Camel,Dark Teal,Black,Vicuna,,,3.8542,https://www.macys.com/shop/product/lauren-ralph-lauren-mens-classic-regular-fit-corduroy-double-reverse-pleated-dress-pants?ID=6198626&CategoryID=197651,48.99,474,333,469,298,0,0,1574,Men,Reasonable
Nautica,Suits & Tuxedos,White/blue,Light Grey,Navy,,,,4.5,https://www.macys.com/shop/product/nautica-mens-modern-fit-stretch-suit?ID=13803277&CategoryID=197651,89.99,55,120,104,0,0,0,279,Men,Reasonable
Polo Ralph Lauren,Hoodies & Sweatshirts,White,Cruise Navy,,,,,0,https://www.macys.com/shop/product/polo-ralph-lauren-mens-logo-fleece-sweatshirt?ID=13359341&CategoryID=197651,93.75,10,10,0,0,0,0,20,Men,Reasonable
Champion,Activewear,Black,Navy,White,Oxford,Team Red,Granite,4.6372,https://www.macys.com/shop/product/champion-mens-script-logo-powerblend-hoodie?ID=12867107&CategoryID=197651,41.25,10,10,10,10,10,10,75,Men,Reasonable
Tommy Hilfiger,Coats & Jackets,Black,Heather Gray,Midnight,,,,4.7353,https://www.macys.com/shop/product/tommy-hilfiger-softshell-classic-zip-jacket?ID=2339114&CategoryID=197651,55.99,10,10,10,0,0,0,30,Men,Reasonable
Tommy Hilfiger,Suits & Tuxedos,Blue Sharkskin,,,,,,4.6049,https://www.macys.com/shop/product/tommy-hilfiger-mens-modern-fit-th-flex-stretch-suit-jackets?ID=5627485,69.99,1,0,0,0,0,0,1,Men,Reasonable
Tommy Hilfiger,Pants,Navy Plaid,Navy Twill,Charcoal,,,,4.5161,https://www.macys.com/shop/product/tommy-hilfiger-mens-modern-fit-th-flex-stretch-suit-pants?ID=5627604,45,15,6,15,0,0,0,36,Men,Reasonable
Calvin Klein,Suits & Tuxedos,Gray Sharkskin,Blue Neat,Blue Birdseye,Light Blue,,,4.5,https://www.macys.com/shop/product/calvin-klein-mens-x-fit-slim-fit-stretch-suit-jackets?ID=6374231,225,185,190,165,38,0,0,578,Men,Expensive
