"answeredQuestions","asin","brand","breadCrumbs","delivery","description","fastestDelivery","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","inStock","listPrice","listPrice/currency","listPrice/value","price","price/currency","price/value","priceVariants","returnPolicy","reviewsCount","reviewsLink","savedPrice","shippingPrice","stars","support","thumbnailImage","title","url","variantAsins/0","variantAsins/1","variantAsins/2","variantAsins/3","variantAsins/4","variantAsins/5","variantAsins/6","variantAsins/7","variantAsins/8","variantAsins/9","variantAsins/10","variantAsins/11","variantAsins/12","variantAsins/13","variantAsins/14","variantAsins/15","variantAsins/16","variantAsins/17","variantAsins/18","variantAsins/19","variantAsins/20","variantAsins/21","variantAsins/22","variantAsins/23","variantAsins/24","variantAsins/25","variantAsins/26","variantAsins/27","variantAsins/28","variantAsins/29","variantAsins/30","variantAsins/31","variantAsins/32","variantAsins/33","variantAsins/34","variantAsins/35","variantAsins/36","variantAsins/37","variantAsins/38","variantAsins/39","variantAsins/40","variantAsins/41","variantAsins/42","variantAsins/43","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"479","B0B5M2J2KJ","Gildan","Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Men › Shirts › T-Shirts",,"Gildan is one of the world's largest vertically integrated manufacturers of apparel and socks. Gildan uses cotton grown in the USA, which represents the best combination of quality and value for Gildan's cotton and cotton blended products. Since 2009, Gildan has proudly displayed the Cotton USA mark, licensed by Cotton Council International, on consumer's product packaging and shipping materials. Gildan's environmental program accomplishes two core objectives: Reduce our environmental impact and preserve the natural resources being used in our manufacturing process. At all operating levels, Gildan is aware of the fact that we operate as a part of a greater unit: The environment in which we live and work.",,,,,,,,,,,,,,"true",,"$","16.99",,"$","57.6",,,"213061","/Gildan-T-Shirts-Multipack-Style-G1100/product-reviews/B0B5M2J2KJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://m.media-amazon.com/images/I/71jWVlA8u+L._AC_SY445_SX342_.jpg","Gildan Men's Crew T-Shirts, Multipack, Style G1100","https://www.amazon.com/dp/B0B5M2J2KJ","B07CWYW42V","B07CWYW42V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Number of Items","12","Color","White (12-pack)","Size",""
,"B09RQ3D27S","LULY YANG","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",,"Breathable lightweight quick dry prime blue active polo. Maximizes comfort and performance. 94% Polyester, 6% Spandex.",,,,,,,,,,,,,,"true",,"$","16.78",,"$","167.8",,,"2","/LULY-YANG-Mens-Lightweight-Polo/product-reviews/B09RQ3D27S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"5",,"https://images-na.ssl-images-amazon.com/images/I/51hMZmmKQdL.__AC_SY445_SX342_QL70_FMwebp_.jpg","LULY YANG DSP Men's Lightweight Polo - Short Sleeve","https://www.amazon.com/dp/B09RQ3D27S","B09RQ3XNQ7","B09VBGQYJK","B09VB8LW3L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Package Quantity","3","Size","",,
"60","B01D86VX3A","POLO RALPH LAUREN","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",,,,,,,,,,,,,,,,"true",,"$","54.99",,"$","208.21",,,"2965","/POLO-RALPH-LAUREN-Classic-Shirt/product-reviews/B01D86VX3A/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/61rZ3nhzo9L.__AC_SY445_SX342_QL70_ML2_.jpg","POLO RALPH LAUREN Men's Classic Fit Polo Shirt","https://www.amazon.com/dp/B01D86VX3A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","",,
"33","B0979JX9T6","Grunt Style","Clothing, Shoes & Jewelry › Men › Uniforms, Work & Safety › Clothing › Military › Tops",,,,,,,,,,,,,,,,"true",,"$","25.95",,"$","53.95",,,"3469","/Grunt-Style-Ghost-Basic-T-Shirt/product-reviews/B0979JX9T6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/61UebQOPOyL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Grunt Style Ghost Basic Crew Men's T-Shirt","https://www.amazon.com/dp/B0979JX9T6","B08HCQM53K","B08HC2SG82","B09DFHMSWY","B08GFJ6VZH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Color","3-pack: Heavy Metal/Tan499/Black, Small","Size","",,
"54","B0B47SB418","POLO RALPH LAUREN","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",,,,,,,,,,,,,,,,"true",,"$","31.99",,"$","74.56",,,"8048","/POLO-RALPH-LAUREN-Cotton-3-Pack/product-reviews/B0B47SB418/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/71UJy5EPByL.__AC_SX342_SY445_QL70_FMwebp_.jpg","POLO RALPH LAUREN Men's Slim Fit Cotton Crews 3-Pack","https://www.amazon.com/dp/B0B47SB418","B0B47L5QW4","B0B47MJ6KL","B0B47QMMSZ","B0B47YXSXT","B07FN3WDF6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Andover Heather/Polo Black, Madison Heather/Polo Black, Polo Black/Red",,
,"B07DKD8LB4","Polo Ralph Lauren Underwear","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos","Sep 28 - Oct 3",,"Fri, Sep 30",,,,,,,,,,,,,"true",,,,,,,,"Eligible for Return, Refund or Replacement within 30 days of receipt","530","/Polo-Ralph-Lauren-Classic-Wicking/product-reviews/B07DKD8LB4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/61u8FYYzx9S.__AC_SY445_SX342_QL70_ML2_.jpg","Polo Ralph Lauren Underwear Men's 5 Pack Classic Fit Boxer Briefs, Black/Charcoal/Grey, L","https://www.amazon.com/dp/B07DKD8LB4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","B015BU2FX8","ARIAT","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Casual Button-Down Shirts",,"The team collection added to the solid twill shirt with the ariat logo on the arm. This was seen in the movie the longest ride.",,"100% Cotton","Imported","Pull On closure","Machine Wash","Greater arm mobility","Moisture movement","SPF protection",,,,,,"true",,"$","59.95",,"$","140.28",,,"598","/Ariat-Mens-Sleeve-Twill-Shirt/product-reviews/B015BU2FX8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.6",,"https://images-na.ssl-images-amazon.com/images/I/71EV4lnYCqS.__AC_SY445_SX342_QL70_ML2_.jpg","Ariat Men's Big and Tall Team Logo Long Sleeve Twill Shirt","https://www.amazon.com/dp/B015BU2FX8","B015SX2VIM","B01M1VS89E","B0979FLDT6","B07WCQRF96","B08PDMN4GS","B07WD5TJML","B07WF9M7FB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black/White",,
"124","B07SG7BRPT","Van Heusen","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Dress Shirts",,"Van Heusen fitted poplin long sleeve blended dress shirt",,,,,,,,,,,,,,"true",,"$","21.45",,"$","135",,,"17926","/Van-Heusen-Dress-Fitted-Poplin/product-reviews/B07SG7BRPT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.4",,"https://images-na.ssl-images-amazon.com/images/I/31NYFECflxL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Van Heusen Men's Dress Shirt Fitted Poplin Solid","https://www.amazon.com/dp/B07SG7BRPT","B00CAKE63A","B06XXB665S","B07F3DLSVL","B07F3F894K","B07F3DLHHD","B06XWJYH7T","B00IE0HJSE","B07F3DLNCT","B07F3DL5P3","B00CAKEW98","B07F3CYNSM","B07F3CYDS5","B07FHHV5W4","B00J5XLAP2","B07F3RY673","B00BM48FP0","B076VVGPVG","B07F383FBH","B076VSKHWB","B06XWHDBXB","B06XVZ69C5","B06XXBD69L","B06XWHM7FH",,,,,,,,,,,,,,,,,,,,,,"Size","","Color","White",,
"14","B0775WKWKF","A|X ARMANI EXCHANGE","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",,,,,,,,,,,,,,,,"true",,"$","31.5",,"$","64",,,"1632","/Armani-Exchange-Mens-Classic-Crew/product-reviews/B0775WKWKF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/61kDfwZjNJL.__AC_SX342_SY445_QL70_FMwebp_.jpg","AX Armani Exchange Men's Crew Neck Logo Tee","https://www.amazon.com/dp/B0775WKWKF","B0779QX78Y","B0775QLWYK","B0779M5XR2","B0775LWFJM","B07KY7JGQQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black",,
"3","B07G7SVS7X","Hanes Ultimate","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Tank Tops",,"Stock up on these rib-knit muscle tanks sporting a traditional fit in a super soft cotton-blend. Made of knit cotton and polyester.",,"100% Cotton","Imported","Pull On closure","Machine Wash","Tag less - no scratchy label","Ribbed fabric for contoured fit","Super soft ring spun cotton","Solids: 100% Cotton; heathers: 90% Cotton/10% Polyester",,,,,"true",,"$","18.9",,"$","57.16",,,"196","/Hanes-Ultimate-Mens-Dyed-6-Pack/product-reviews/B07G7SVS7X/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://m.media-amazon.com/images/I/71Wbs+9TrrS._AC_SX342_SY445_.jpg","Hanes Ultimate Men's Dyed Tank (Black/Grey)","https://www.amazon.com/dp/B07G7SVS7X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black/ Gray",,
"32","B0772YMPJD","ARIAT","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Casual Button-Down Shirts",,,,,,,,,,,,,,,,"true",,"$","58.99",,"$","143.15",,,"1803","/Ariat-Mens-Solid-Twill-Shirt/product-reviews/B0772YMPJD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.7",,"https://images-na.ssl-images-amazon.com/images/I/51ePNjI-NSL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Ariat Solid Twill Classic Fit Shirt - Men's Long Sleeve Western Button-Down","https://www.amazon.com/dp/B0772YMPJD","B005A1197M","B004BP0YRE","B010XMFH7K","B00JX932FY","B00EQ02BSY","B008UW5HSU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","White",,
"17","B07GKWB3V2","Nike","Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › Polos",,"NEW NIKE 2018 DESIGN WITH SWOOSH DESIGN TRADEMARK ON THE RIGHT SIDE OF CHEST. CLASSIC SHORT SLEEVE POLO WITH RIGHT CHEST EMBROIDERED SWOOSH. FEATURING DRI- FIT TECHNOLOGY FOR BREATHABILITY AND COMFORT.",,,,,,,,,,,,,,"true",,"$","34.99",,"$","113.89",,,"4046","/Nike-Dri-FIT-Short-Sleeve-Shirt/product-reviews/B07GKWB3V2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/51OYS0EJwSL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Nike Mens Dri-FIT Short Sleeve Polo Shirt Sky Blue","https://www.amazon.com/dp/B07GKWB3V2","B07GKDR88F","B07QP38VLR","B08HM9988P","B089P38K2X","B089P2FLRH","B07JYKB35S","B07JQ6CF44","B07RMK7NYR","B07GP4QPC8","B0951CLQWM","B07ZRYK61Q","B08FCW2TCY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Size","","Color","Black",,
,"B09RQ3D27S","LULY YANG","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › Polos",,"Breathable lightweight quick dry prime blue active polo. Maximizes comfort and performance. 94% Polyester, 6% Spandex.",,,,,,,,,,,,,,"true",,"$","16.78",,"$","167.8",,,"2","/LULY-YANG-Mens-Lightweight-Polo/product-reviews/B09RQ3D27S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"5",,"https://images-na.ssl-images-amazon.com/images/I/719Uqi0EoEL.__AC_SY445_SX342_QL70_FMwebp_.jpg","LULY YANG DSP Men's Lightweight Polo - Short Sleeve","https://www.amazon.com/dp/B09RQ3D27S","B09RQ3XNQ7","B09VBGQYJK","B09VB8LW3L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Package Quantity","10","Size","",,
"334","B08YDWZ3C3","Gildan","Clothing, Shoes & Jewelry › Men › Clothing › Shirts › T-Shirts",,"This Adult Heavy Cotton T-shirt is Gildan’s best seller for a reason—wearers love the weight and versatility of the fabric, and there are companion styles for women, youth and toddlers. Made of U.S.-grown cotton, this midweight takes you through every season of the year. Its smooth surface is ideal for screen printing, embroidery, iron-on transfers, bleaching and tie dye. A fantastic choice when you want to coordinate looks for the entire family!",,"Solids: 100% Cotton; Sport Grey & antique Heather: 90% Cotton, 10% Polyester; Safety Colors & Heather: 50% Cotton, 50% Polyester","Imported","Pull On closure","Machine Wash","Classic fit for loose comfort","Versatile mid-weight fabric for year-round wear","Our most popular t-shirt","Non-topstitched, classic width, rib collar","Tear away label for customizable comfort","Screen printing, embroidery, iron-on transfers, bleaching and tie dyE","Companion styles: G5000L, G5000B, G5100P",,"true",,"$","7.14",,"$","110.43",,,"70416","/Gildan-Cotton-T-Shirt-G5000-2-Pack/product-reviews/B08YDWZ3C3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews",,,"4.5",,"https://images-na.ssl-images-amazon.com/images/I/61lDolpjTRL.__AC_SY445_SX342_QL70_FMwebp_.jpg","Gildan Men's Heavy Cotton T-Shirt, Style G5000, Multipack","https://www.amazon.com/dp/B08YDWZ3C3","B0828N81X4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Number of Items","10","Color","","Size",""
